time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-10T01:01:36.680Z,17.83,-66.8686,9,2.14,md,12,259,0.1455,0.09,pr,pr2020041002,2020-02-10T01:23:11.840Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.7,0.98,0.4,6,reviewed,pr,pr
2020-02-10T01:00:41.910Z,19.2105007,-155.4019928,31.78,2.02,md,33,160,0.02719,0.13,hv,hv71377312,2020-02-10T01:03:49.980Z,"8km E of Pahala, Hawaii",earthquake,0.66,0.76,0.09,3,automatic,hv,hv
2020-02-10T00:54:26.577Z,60.7929,-149.6832,25.5,2.1,ml,,,,0.55,ak,ak0201vtcuym,2020-02-10T01:04:35.621Z,"48km SSE of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-02-10T00:50:37.557Z,60.9826,-140.1119,13.4,1.7,ml,,,,0.39,ak,ak0201vtc0y4,2020-02-10T01:01:24.074Z,"143km WNW of Haines Junction, Canada",earthquake,,0.2,,,automatic,ak,ak
2020-02-10T00:43:21.110Z,17.908,-66.8511,11,2.32,md,12,219,0.0727,0.22,pr,pr2020041001,2020-02-10T00:58:45.579Z,"8km SSE of Maria Antonia, Puerto Rico",earthquake,1.25,0.62,0.21,5,reviewed,pr,pr
2020-02-10T00:36:29.460Z,18.8481674,-155.2281647,9.99,2.27,md,17,299,0.3774,0.07,hv,hv71377282,2020-02-10T00:39:44.740Z,"47km SSE of Pahala, Hawaii",earthquake,1.02,0.62,0.01,6,automatic,hv,hv
2020-02-10T00:35:14.650Z,17.8505,-66.8935,7,2.36,md,12,239,0.1254,0.07,pr,pr2020041000,2020-02-10T01:01:30.040Z,"21km S of Guanica, Puerto Rico",earthquake,0.6,0.32,0.18,6,reviewed,pr,pr
2020-02-10T00:19:27.654Z,63.2128,-151.6025,10.2,2.7,ml,,,,1.04,ak,ak0201vt5cyk,2020-02-10T01:22:46.040Z,"106km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-10T00:17:28.746Z,-21.6286,-178.7414,546.14,4.6,mb,,123,4.903,0.72,us,us70007mbc,2020-02-10T00:55:10.040Z,"108km S of Ndoi Island, Fiji",earthquake,15.3,8.7,0.103,28,reviewed,us,us
2020-02-10T00:04:55.118Z,65.0207,-147.0322,10,1.4,ml,,,,1,ak,ak0201vt27dg,2020-02-10T00:09:29.328Z,"33km NNE of North Pole, Alaska",earthquake,,1.7,,,automatic,ak,ak
2020-02-10T00:02:13.781Z,63.0748,-151.4629,8.6,1.5,ml,,,,1.05,ak,ak0201vt1oqs,2020-02-10T00:11:10.545Z,"108km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-09T23:59:15.299Z,63.002,-149.269,63.6,1.8,ml,,,,0.49,ak,ak0201ujjj1y,2020-02-10T00:11:10.056Z,"46km SSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-02-09T23:58:57.010Z,38.7928352,-122.8116684,3.16,0.78,md,14,106,0.008089,0.02,nc,nc73337816,2020-02-10T00:12:03.493Z,"5km WNW of The Geysers, CA",earthquake,0.34,0.75,0.14,2,automatic,nc,nc
2020-02-09T23:54:26.800Z,19.4048328,-155.2920074,-0.17,1.72,md,15,78,0.007756,0.2,hv,hv71377227,2020-02-09T23:57:14.610Z,"6km WSW of Volcano, Hawaii",earthquake,0.27,0.37,0.28,10,automatic,hv,hv
2020-02-09T23:51:58.025Z,61.6242,-152.1397,120.2,2,ml,,,,0.34,ak,ak0201ujhwnv,2020-02-09T23:55:03.784Z,"112km W of Willow, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-02-09T23:37:17.745Z,63.4423,-147.5602,9.5,1.6,ml,,,,0.59,ak,ak0201ujetk1,2020-02-09T23:43:21.116Z,"69km E of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-09T23:33:58.570Z,39.3725014,-123.2425003,9.07,0.7,md,5,189,0.07612,0.02,nc,nc73337806,2020-02-10T00:35:03.632Z,"11km ESE of Willits, CA",earthquake,3.24,6.06,0.08,2,automatic,nc,nc
2020-02-09T23:24:37.065Z,63.4599,-151.2057,5.5,1.6,ml,,,,0.75,ak,ak0201ujc2p2,2020-02-09T23:33:17.934Z,"112km W of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-02-09T23:12:10.833Z,60.6482,-129.6053,9.92,4.1,mwr,,97,0.67,0.29,us,us70007ma8,2020-02-10T00:27:03.038Z,"81km NW of Watson Lake, Canada",earthquake,2.6,7.6,0.062,25,reviewed,us,us
2020-02-09T23:07:02.500Z,62.9072,-150.5795,106.8,1.4,ml,,,,0.92,ak,ak0201uj8ctf,2020-02-09T23:12:23.085Z,"69km NNW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2020-02-09T22:58:42.930Z,33.2438333,-116.026,8.49,1.3,ml,30,93,0.1479,0.26,ci,ci39297336,2020-02-09T23:02:15.496Z,"9km SW of Salton City, CA",earthquake,0.5,3.33,0.184,28,automatic,ci,ci
